"A01";"Stab Saw";"Synth Hard"
"A02";"Synth Lana";"Arpeggio"
"A03";"Evolution";"Synth Pad"
"A04";"Boost Bass";"Synth Bass"
"A05";"Dirty Sync";"Synth Lead"
"A06";"Zoop Mania";"Sequence"
"A07";"Ice Field";"Bell"
"A08";"Lounge Organ";"Keyboard"
"A09";"MG Bass";"Synth Bass"
"A10";"GatesOfHell";"Sequence"
"A11";"PWM Strings";"Strings"
"A12";"Turn Wheel";"Synth Lead"
"A13";"Synth Tp";"Synth Brass"
"A14";"DWGS WaveSeq";"Wave Seq"
"A15";"Drive Bass";"Synth Bass"
"A16";"Surrounded";"S.E."
"B01";"Lazy Pitch";"Synth Hard"
"B02";"Stairs Pad";"Arpeggio"
"B03";"Silk Pad";"Synth Pad"
"B04";"Zap Bass";"Synth Bass"
"B05";"Uni Synth";"Synth Lead"
"B06";"PsycheTrance";"Sequence"
"B07";"Deep Bell";"Bell"
"B08";"Synth Clav";"Keyboard"
"B09";"Line Bass";"Synth Bass"
"B10";"SearchEngine";"Sequence"
"B11";"Voice /A/";"Choir"
"B12";"Far Horizon";"Synth Lead"
"B13";"Glass";"Synth Soft"
"B14";"Random";"Sequence"
"B15";"Jami Bass";"Synth Bass"
"B16";"Loomy";"S.E."
"C01";"Poly Line";"Synth Hard"
"C02";"Krazy Arpy 1";"Arpeggio"
"C03";"Mod3&4 Squad";"Synth Pad"
"C04";"What D' Time";"Synth Bass"
"C05";"Healing";"Synth Lead"
"C06";"Auto Disco";"Sequence"
"C07";"Candy Box";"Bell"
"C08";"Vintage EP";"Keyboard"
"C09";"Mini Bass";"Synth Bass"
"C10";"Tap Lead";"Sequence"
"C11";"Royal Pad";"Synth Pad"
"C12";"Freq Lead";"Synth Lead"
"C13";"Solemn Brass";"Synth Brass"
"C14";"IZDISA-WS";"Wave Seq"
"C15";"House Bass";"Synth Bass"
"C16";"Invaders";"S.E."
"D01";"Ana Fuzz";"Synth Hard"
"D02";"Water Edge";"Arpeggio"
"D03";"Reactor Pad";"Synth Pad"
"D04";"MS-101 Sqr";"Synth Bass"
"D05";"Edge Lead";"Synth Lead"
"D06";"Goa Trax";"Sequence"
"D07";"Retro BD/SD";"Synth Drum"
"D08";"Wet Reed";"Keyboard"
"D09";"Fat Bass";"Synth Bass"
"D10";"Flashlight";"Synth Motion"
"D11";"Stream Pad";"Strings"
"D12";"EP Fusion Ld";"Synth Lead"
"D13";"TremoloSynth";"Synth Soft"
"D14";"Motion Pad";"Synth Motion"
"D15";"Banana Bass";"Synth Bass"
"D16";"Bad Dream";"S.E."
"E01";"Century Stab";"Synth Hard"
"E02";"Simple Arpg";"Arpeggio"
"E03";"Tin Memoreez";"Synth Pad"
"E04";"Organ Bass";"Synth Bass"
"E05";"High Voltage";"Synth Lead"
"E06";"Trip Planet";"Sequence"
"E07";"Dry Plant";"Bell"
"E08";"Reed Piano";"Keyboard"
"E09";"Magnum Bass";"Synth Bass"
"E10";"Mad Lead";"Sequence"
"E11";"Belly";"Choir"
"E12";"BackInTheDay";"Synth Lead"
"E13";"Synth Brass";"Synth Brass"
"E14";"ElectroShock";"Sequence"
"E15";"Bakin' Bass";"Synth Bass"
"E16";"Telephone";"S.E."
"F01";"Golden Synth";"Synth Hard"
"F02";"Blue&White";"Arpeggio"
"F03";"Pan Tran";"Synth Pad"
"F04";"Warp Bass";"Synth Bass"
"F05";"Killa Lead";"Synth Lead"
"F06";"Tribe'n Beat";"Sequence"
"F07";"Bound Ball";"Bell"
"F08";"CuttingArpg";"Keyboard"
"F09";"Bass Machine";"Synth Bass"
"F10";"Trip 2 Ibiza";"Sequence"
"F11";"Ana Strings";"Strings"
"F12";"Past Mind";"Synth Lead"
"F13";"Future Vibe";"Synth Soft"
"F14";"Euro Synthe";"Sequence"
"F15";"Digy Bass";"Synth Bass"
"F16";"Thunder";"S.E."
"G01";"Square Comp";"Synth Hard"
"G02";"Krazy Arpy 2";"Arpeggio"
"G03";"Sweep Pad";"Synth Pad"
"G04";"Sub Bass";"Synth Bass"
"G05";"Phenomenon";"Synth Lead"
"G06";"Ready 2 Air";"Sequence"
"G07";"X-Mod Perc";"Bell"
"G08";"BritishOrgan";"Keyboard"
"G09";"80's Bass";"Synth Bass"
"G10";"Min.Deal";"Sequence"
"G11";"Astral Vox";"Choir"
"G12";"Rez Lead";"Synth Lead"
"G13";"Soft Brass";"Synth Brass"
"G14";"CPU Talk";"Sequence"
"G15";"Phunk Bass";"Synth Bass"
"G16";"Jet Set 2000";"S.E."
"H01";"Poly400";"Synth Hard"
"H02";"Diginator";"S.E."
"H03";"Light Pad";"Synth Pad"
"H04";"Bass&5thLead";"Synth Bass"
"H05";"Woody's Lead";"Synth Lead"
"H06";"Filter Muzik";"Sequence"
"H07";"TimeZone SFX";"S.E."
"H08";"Pulse Comp";"Keyboard"
"H09";"Vocoder Ens";"Vocoder"
"H10";"Vocoder Cho";"Vocoder"
"H11";"Vocoder Wah";"Vocoder"
"H12";"V ocoderPulse";"Vocoder"
"H13";"VoiceChanger";"Vocoder"
"H14";"Vocodevil";"Vocoder"
"H15";"AudioIn INIT";"AudioIn"
"H16";"Init Program";"Init Program"
