"A000";"Portamento Pad";"SlowSynth"
"A001";"StereoPiano mf/f";"Keyboard"
"A002";"Centerfuge";"Hit/Arpg"
"A003";"Session Strings";"Strings"
"A004";"Mashed Kit";"Drums"
"A005";"HardPulse Bass";"Bass/Synth Bass"
"A006";"Session Brass";"Brass"
"A007";"Jazz Organ 1";"Organ"
"A008";"Vibraphone 2";"Bell/Mallet"
"A009";"Saw Strings";"SlowSynth"
"A010";"Saw OD Bass/Lead";"LeadSynth"
"A011";"SiniSTAR Bass";"Bass/Synth Bass"
"A012";"Nylon Guitar 2";"Guitar/Plucked"
"A013";"Ping/Pong Synth";"MotionSynth"
"A014";"Harmonica-Wah";"Woodwind/Reed"
"A015";"THEY were here";"SE"
"A016";"Fast Saw Synth";"FastSynth"
"A017";"EP Bright mf/f";"Keyboard"
"A018";"PunchBowl HIT";"Hit/Arpg"
"A019";"Tape Strings";"Strings"
"A020";"Standard Kit 3";"Drums"
"A021";"Velo Scat Voices";"Vocal/Airy"
"A022";"Trumpet Duo";"Brass"
"A023";"BX3 Velo Switch";"Organ"
"A024";"Analog Bells";"Bell/Mallet"
"A025";"Overture Pad";"SlowSynth"
"A026";"2VCO Planet Lead";"LeadSynth"
"A027";"Club Ac Bass";"Bass/Synth Bass"
"A028";"Mono Guitar Lead";"Guitar/Plucked"
"A029";"SpikeyUnisyn";"MotionSynth"
"A030";"Flute Vibrato";"Woodwind/Reed"
"A031";"Cymbalis";"SE"
"A032";"Ghostly Popper";"FastSynth"
"A033";"Tremolo Wurly";"Keyboard"
"A034";"Saw Arpeggiator";"Hit/Arpg"
"A035";"StringsQuartet 2";"Strings"
"A036";"DWGS Sync2 Knob1";"LeadSynth"
"A037";"Nice&Expensive";"Vocal/Airy"
"A038";"5th Stab";"FastSynth"
"A039";"Distortion Organ";"Organ"
"A040";"Monkey Skulls";"Bell/Mallet"
"A041";"Korgmatose";"SlowSynth"
"A042";"Dance Lead";"LeadSynth"
"A043";"SuperSwitch Bass";"Bass/Synth Bass"
"A044";"A.Guitar Gliss.";"Guitar/Plucked"
"A045";"Time Stood Still";"MotionSynth"
"A046";"Sax Ensemble";"Woodwind/Reed"
"A047";"Orbiting Probes";"SE"
"A048";">Fast Reaction<";"FastSynth"
"A049";"Funky Clav";"Keyboard"
"A050";"NetherlandHit";"Hit/Arpg"
"A051";"D'n'B/GarageBass";"Bass/Synth Bass"
"A052";"Psycho Kit";"Drums"
"A053";"Aah Voices";"Vocal/Airy"
"A054";"Horns & Ensemble";"Brass"
"A055";"Transweep";"FastSynth"
"A056";"Chorus E.Guitar";"Guitar/Plucked"
"A057";"FlutaSonic Pad";"SlowSynth"
"A058";"Ripper";"LeadSynth"
"A059";"Low Finger Bass";"Bass/Synth Bass"
"A060";"Power-Chords&FX";"Guitar/Plucked"
"A061";"Motion Saw";"MotionSynth"
"A062";"Oboe Vibrato";"Woodwind/Reed"
"A063";"Xpanded Voice";"SE"
"A064";"Polysix Pad";"FastSynth"
"A065";"M1 Piano";"Keyboard"
"A066";"Chord Trigger";"Hit/Arpg"
"A067";"Hybrid Strings";"Strings"
"A068";"Mega Drum Hit";"Drums"
"A069";"M1 Organ Bass";"Bass/Synth Bass"
"A070";"Velo Resonant";"FastSynth"
"A071";"Additive Organ";"Organ"
"A072";"Digital Bells 1";"Bell/Mallet"
"A073";"ClassicAnaPad";"SlowSynth"
"A074";"DetunedSuperLead";"LeadSynth"
"A075";"Bass-Depot";"Bass/Synth Bass"
"A076";"Processed E.Gtr.";"Guitar/Plucked"
"A077";"LightOfTheSource";"MotionSynth"
"A078";"Classic Tines";"Keyboard"
"A079";"Big Break Down";"SE"
"A080";"Paddy Whack";"FastSynth"
"A081";"Analog E.Piano";"Keyboard"
"A082";"Chipper Dayglow";"Hit/Arpg"
"A083";"Acid Square Bass";"Bass/Synth Bass"
"A084";"Filter Drums";"Drums"
"A085";"Digital Voice";"Vocal/Airy"
"A086";"Trumpets&Brass";"Brass"
"A087";"Velo Pulse Clav";"FastSynth"
"A088";"Ensemble Bell";"Bell/Mallet"
"A089";"ASineOfTheTimes";"SlowSynth"
"A090";"JuicyBleep-age";"LeadSynth"
"A091";"DarkCore Bass";"Bass/Synth Bass"
"A092";"Harp";"Guitar/Plucked"
"A093";"Swirling Dreams";"MotionSynth"
"A094";"Fisa Americana";"Woodwind/Reed"
"A095";"Monster Island";"SE"
"A096";"Reso Comp";"FastSynth"
"A097";"DarkTineStage EP";"Keyboard"
"A098";"Progressv Trance";"Hit/Arpg"
"A099";"PizzAnsamble";"Strings"
"A100";"! {Tricky} Kit !";"Drums"
"A101";"Deep Detune Bass";"Bass/Synth Bass"
"A102";"Cosmic Furnace";"FastSynth"
"A103";"Pipe Mixture";"Organ"
"A104";"Krystal Bells";"Bell/Mallet"
"A105";"Strings Synth";"SlowSynth"
"A106";"Detox Lead";"LeadSynth"
"A107";"Wah Space Bass";"Bass/Synth Bass"
"A108";"Da Mute...Joy -Y";"Guitar/Plucked"
"A109";"Sinistar*Android";"MotionSynth"
"A110";"Piano Pad";"Keyboard"
"A111";"JoyStick Machine";"SE"
"A112";"Super Saw Brass";"FastSynth"
"A113";"Romance Piano";"Keyboard"
"A114";"Techno Organ Hit";"Hit/Arpg"
"A115";"Boost RnB Bass";"Bass/Synth Bass"
"A116";"BD&SD Kit 1";"Drums"
"A117";"Talkin' Keys";"Vocal/Airy"
"A118";"Trombone Ens.";"Brass"
"A119";"PowerRezSweep";"FastSynth"
"A120";"Thin Bell-s-park";"Bell/Mallet"
"A121";"Cross Sweeper";"SlowSynth"
"A122";"Nu HPF Lead";"LeadSynth"
"A123";"Motion Bass/Lead";"Bass/Synth Bass"
"A124";"Jazz Guitar";"Guitar/Plucked"
"A125";"Space Pod for 2";"MotionSynth"
"A126";"TenorSax Growl-Y";"Woodwind/Reed"
"A127";"Steam Sweeps";"SE"
"B000";"Big Sweep Stab";"FastSynth"
